Scheme Code,ISIN Div Payout/ISIN Growth,ISIN Div Reinvestment,Scheme Name,Net Asset Value,AMC Name
118994,INF740K01NO5,-,DSP Regular Savings Fund - Direct Plan - Growth,62.4798,DSP Mutual Fund
118992,INF740K01NP2,INF740K01NR8,DSP Regular Savings Fund - Direct Plan - IDCW - Monthly,14.0482,DSP Mutual Fund
118993,INF740K01NQ0,INF740K01NS6,DSP Regular Savings Fund - Direct Plan - IDCW - Quarterly ,13.9424,DSP Mutual Fund
102450,INF740K01458,INF740K01466,DSP Regular Savings Fund - Regular Plan - IDCW - Monthly,11.2761,DSP Mutual Fund
102451,INF740K01474,INF740K01482,DSP Regular Savings Fund - Regular Plan - IDCW - Quarterly ,11.6242,DSP Mutual Fund
102448,INF740K01441,-,DSP Regular Savings Fund- Regular Plan - Growth,55.6354,DSP Mutual Fund
118574,INF090I01GF1,-,Franklin India Debt Hybrid Fund - Direct - GROWTH,94.1867,Unknown AMC
100948,INF090I01EA7,-,Franklin India Debt Hybrid Fund - Growth,85.934,Unknown AMC
118575,INF090I01GG9,INF090I01GH7,Franklin India Debt Hybrid Fund - Plan A - Direct - Monthly - IDCW,14.7313,Unknown AMC
118576,INF090I01GI5,INF090I01GJ3,Franklin India Debt Hybrid Fund - Plan A - Direct - Quarterly - IDCW,13.9614,Unknown AMC
100949,INF090I01EB5,INF090I01EC3,Franklin India Debt Hybrid Fund - Plan A - Monthly - IDCW,12.9553,Unknown AMC
100950,INF090I01ED1,INF090I01EE9,Franklin India Debt Hybrid Fund - Plan A - Quarterly - IDCW,12.1652,Unknown AMC
148302,INF090I01WH4,-,Franklin India Debt Hybrid Fund - Segregated Portfolio 1 (10.25% Yes Bank ltd CO 05Mar20) - Direct Growth Plan,0.0,Unknown AMC
148298,INF090I01WI2,-,Franklin India Debt Hybrid Fund - Segregated Portfolio 1 (10.25% Yes Bank Ltd CO 05Mar20) - Direct Quarterly Dividend Plan,0.0,Unknown AMC
148297,INF090I01WE1,-,Franklin India Debt Hybrid Fund - Segregated Portfolio 1 (10.25% Yes bank Ltd CO 05Mar20) - Growth Plan,0.0,Unknown AMC
148299,INF090I01WG6,-,Franklin India Debt Hybrid Fund - Segregated Portfolio 1 (10.25% Yes Bank Ltd CO 05Mar20) - Monthly Dividend Plan,0.0,Unknown AMC
148300,INF090I01WF8,-,Franklin India Debt Hybrid Fund - Segregated Portfolio 1 (10.25% Yes Bank Ltd CO 05Mar20) - Quarterly Dividend Plan,0.0,Unknown AMC
